objectid,pghdbsdeZoningarea,perimeter,zoning_,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status
878,1018576.26313813,6801.02298051,0,0,R1D-H,6801.02298051,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
879,1390220.61425093,7388.21523164,0,0,R2-M,7434.81058337,,TWO-UNIT RESIDENTIAL MODERATE DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
880,365570.25389803,3447.86315563,0,0,R1A-H,3447.86315563,,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
881,450224.74665898,3805.01164522,0,0,LNC,3851.60699694,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
882,525959.0239387,3366.90980418,0,0,R2-M,3366.90980418,,TWO-UNIT RESIDENTIAL MODERATE DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
883,372457.34945481,3229.99000475,0,0,R1A-VH,3229.99000475,,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
888,1470641.84053736,8795.62748773,0,0,RM-H,8795.62748773,,MULTI-UNIT RESIDENTIAL HIGH DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
889,537772.33904596,3647.44694498,0,0,R1A-H,3647.44694498,,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
890,378903.47036318,4190.39423339,0,0,R1A-H,4190.39423339,,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
891,54074.79287906,1024.62128214,0,0,RM-M,1024.62128214,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
892,47002.94431763,946.44883064,0,0,RM-M,946.44883064,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
893,93464.5130513,1339.77312066,0,0,RM-M,1339.77312066,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
894,7486701.00510248,51053.51580803,0,0,RM-M,53186.5341154,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
895,495604.37334081,4012.21760001,936,936,H,4012.21760001,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved
896,264369.29633351,3533.13495766,984,984,R2-L,5168.33893559,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
897,1136746.36580725,7562.30297811,967,967,R1D-H,11377.9745811,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
898,314120.51909231,2459.05482498,950,950,RP,2459.05482498,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
918,220027.44413492,3430.61785164,0,0,GPRB,3430.61785164,,GRANDVIEW PUBLIC REALM DISTRICT B,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
899,2430796.44158984,9590.73051623,938,938,R1D-H,9590.73051623,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
900,1168028.00387359,5045.8834688,0,0,R1D-M,5045.88346873,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
901,2384579.35222373,9914.82270262,0,0,R1D-L,9914.82270262,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
902,972649.72790134,5296.44852137,0,0,R1D-L,5296.44852137,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
903,2383450.41391514,12560.7283882,0,0,R1D-L,12560.7283882,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
904,351369.42457999,4863.51922857,0,0,LNC,4863.51922857,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
905,298290.73268575,3659.55872918,0,0,R1D-M,3659.55872918,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
906,1726997.48615299,12113.21467585,0,0,R1D-L,12113.2146759,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
907,915873.95912384,5708.5250682,0,0,P,5708.5250682,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
908,87164.70653993,1508.33920279,0,0,H,1508.33920279,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved
909,738464.97416686,4110.05794799,0,0,P,4110.05794799,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
919,44300.58588251,866.92924228,0,0,P,866.92924228,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
920,108344.44667168,1522.17149255,0,0,LNC,1522.17149255,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
910,5928676.74128839,38580.03004087,1018,1018,H,38580.0300409,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved
911,24503444.7534041,60219.94556686,1023,1023,P,60815.4598442,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
912,4025193.26629437,19516.20654717,0,0,R1D-M,19515.8778467,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
913,115487.43475629,2183.24589513,185,185,NDI,2183.24589513,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved
914,109806.36928834,1553.43085722,185,185,NDI,1553.43085722,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved
915,42404.5511579,1055.49457845,216,216,NDI,1055.49457845,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved
916,789913.38966519,5642.74801351,238,238,LNC,5642.74801351,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
917,106080.54609736,1955.26168501,0,0,GPRC,1955.26168501,,GRANDVIEW PUBLIC REALM DISTRICT C,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
921,626126.34825855,5138.49076706,0,0,UI,5138.49076706,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved
922,1810035.56327774,7428.70495897,0,0,R1A-H,7428.70495897,,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
923,129010.26951243,1736.47231769,0,0,LNC,1736.47231769,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
924,133094.15650078,2553.56869604,0,0,GPRC,2553.56869604,,GRANDVIEW PUBLIC REALM DISTRICT C,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
925,7819.82694105,423.49114621,0,0,RM-M,423.49114621,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
926,358671.94520928,4025.65232068,0,0,LNC,4025.65232068,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
927,229106.38312799,3747.33716216,0,0,R2-H,2779.76609758,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
928,178895.2522868,3205.94689675,0,0,AP,1996.6531022,,RESIDENTIAL/COMMERCIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
929,99713.88272682,1644.65889785,0,0,GPRC,2157.75896144,,GRANDVIEW PUBLIC REALM DISTRICT C,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
930,661989.20180798,6585.0022069,0,0,LNC,6585.0022069,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
931,856417.98288037,8668.85575565,0,0,GPRA,8668.85575565,,GRANDVIEW PUBLIC REALM DISTRICT A,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
932,136964.86923871,2627.11066969,0,0,GPRB,2627.11066969,,GRANDVIEW PUBLIC REALM DISTRICT B,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
933,1733917.87126507,13059.88018243,0,0,UI,13059.8801824,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved
934,953196.9385534,5766.06211483,0,0,R2-H,5766.06211483,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
935,104616.50351702,1547.43696755,0,0,P,1547.43696755,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
936,1678214.00085608,9182.85085672,0,0,R2-H,9182.85085672,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
937,191245.66903617,1838.32614303,0,0,RP,1838.32614303,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
938,70209.87635916,1109.35109843,0,0,CP,1109.35109843,,COMMERCIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
939,64996.4597956,1553.86107953,0,0,RP,1553.86107953,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
940,238626.48674829,2396.94189704,0,0,R2-H,2396.94189704,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
941,122348.96786698,1420.37549217,0,0,P,1420.37549217,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
942,3244454.94208707,10966.48737187,0,0,R1D-M,10966.4873719,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
943,1026599.03600466,5985.16056647,0,0,RM-M,5985.16056647,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
944,1851123.64880669,9245.03307743,265,265,R1D-H,9245.03307743,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
945,32059.33435671,798.05174738,0,0,LNC,798.05174738,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
946,2878964.81308483,11170.73534747,1032,1032,R1D-L,39957.1689282,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
961,851176.19283123,5203.68343646,0,0,R1D-M,0,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
947,3715060.11351621,21591.72033061,1022,1022,P,35837.3692694,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
